1, "Bob", 3.75, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 99
2, "Cob", 3.50, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 88
3, "Dob", 3.00, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 77
4, "Fob", 2.50, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 66
5, "Gob", 2.00, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 55
6, "Hob", 1.50, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 44
7, "Job", 1.25, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 33
8, "Kob", 1.00, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 22
9, "Lob", 0.10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11
10, "Mob", 0.05, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
11, "Nob", 0.00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
